LEGEND,M = Music,T = Tech / Smart Home / DIY,F = Food & Cooking,C = Comedy,N = News,V = TV / Video,O = Other
,Leave cat blank to keep as unsure. Fill top ones first — sorted by play count.,,,,,,

cat,channel name,plays,videos,channel url
,Jakeclips,4,4,https://www.youtube.com/channel/UCcgrb95AIB6Of5Z3TUR6Btg
,entralwake,4,2,https://www.youtube.com/channel/UC03ADiJU9-fizyruSrH8EEg
,Kidd Snooze,4,1,https://www.youtube.com/channel/UCXf-Lf26-Nd0uxiGeQn6roA
,TooMuchPing,4,2,https://www.youtube.com/channel/UCHjo1l1HbEyCKxBeVbrURxQ
,The Sigma Life,4,4,https://www.youtube.com/channel/UCeprKTQ1H41te5juHLPP6KA
,Eddie And The Getaway,4,4,https://www.youtube.com/channel/UCcT1UMvtcbLK5TSF2A3qzPQ
,Dylan Anderson,4,4,https://www.youtube.com/channel/UCpuT8AlP9P9EgW_pZ0_xInQ
,SIMPLY TALKING PODCAST,4,4,https://www.youtube.com/channel/UCMBOqUmQUMPB5fTBP4dmiRg
,Ry Clique,4,2,https://www.youtube.com/channel/UC5B1Bt1mgOeGj304u2FIaaw
,Pixel Rookie,4,2,https://www.youtube.com/channel/UCJJpgSQwX50RhwamJOgvuOw
,Just Some Videos,4,1,https://www.youtube.com/channel/UCUq9IP5W5Uza7iOug7HwM5g
,Jordan Strang,4,1,https://www.youtube.com/channel/UCtY61kH7aEv1vrU25YosQnw
,Lil' Chief Records,4,2,https://www.youtube.com/channel/UCGIQxn4fW80bIvFL1neNQEg
,Digitworks,4,1,https://www.youtube.com/channel/UCUx_LpmM5CRuL7E7Uz8fNZg
,gredin41,4,1,https://www.youtube.com/channel/UCmSzIUzCGjm1bKpvBBX300w
,mike mikelike,4,1,https://www.youtube.com/channel/UC-QcActLCNh9iqwV2ZqUf0w
,MusicWithPeteTv,4,2,https://www.youtube.com/channel/UC42kNemXeq__lepeaXeJ2Jw
,Broken Ridge Records,4,1,https://www.youtube.com/channel/UC8_PcisK6k4lMkNDoSesDaA
,Gorran Kendall,3,3,https://www.youtube.com/channel/UCdJbcC-bCcgpjd3HVnn9dGA
,Beyond Military,3,3,https://www.youtube.com/channel/UCxa-R6YNIxqlbdVrx4nmOzA
,Showroom Partners Entertainment,3,2,https://www.youtube.com/channel/UCmMuZnymklPQlSdNWXyasXg
,AI Revolution,3,2,https://www.youtube.com/channel/UC5l7RouTQ60oUjLjt1Nh-UQ
,Musora,3,1,https://www.youtube.com/channel/UCP1ZfPYU0cjhXXnuxlLVhqQ
,Mattias Krantz,3,2,https://www.youtube.com/channel/UCEgm-3RvRn4nCR-fGGVsfdQ
,Bitner Built,3,2,https://www.youtube.com/channel/UCQhw4CPKgUZyCKVmAYCoRIQ
,triple j,3,1,https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg
,Sam Tompkins,3,2,https://www.youtube.com/channel/UCN-lWv8IwDNljiJA6oDCERA
,EELF,3,1,https://www.youtube.com/channel/UCfyuDg7cIVtg04zg3XRlQHQ
,Arkarmz,3,1,https://www.youtube.com/channel/UCF9YqEeI_z0YGyXvgeyd4Lw
,Grunge,3,2,https://www.youtube.com/channel/UCWlIGsKGsvgFJHkiZml4O1A
,Rick Beato,3,2,https://www.youtube.com/channel/UCJquYOG5EL82sKTfH9aMA9Q
,Creation Secret,3,2,https://www.youtube.com/channel/UCBwOg6FOvougb3gzy5GhxoQ
,April Wilkerson,3,2,https://www.youtube.com/channel/UC4v2tQ8GqP0RbmAzhp4IFkQ
,Hands On Katie,3,1,https://www.youtube.com/channel/UCLqQ5m7AXj_oyUvLZPsts0Q
