# category_review.txt
# Channels that could not be auto-categorized.
# Edit the last column, then save as channel_overrides.txt
# Valid categories: music | tv | tech | unsure | news | food | comedy | other
# May be abbreviated M, V, T, unsure, N, F, C, O
norm_name|raw_name|channel_url|total_plays|title_count|category
The Mixfitz|The Mixfitz|https://www.youtube.com/channel/UCuhHoP8Ausl5GZduc1sXGrw|10|1|M
Justin Hawkins Rides Again|Justin Hawkins Rides Again|https://www.youtube.com/channel/UCgH8NCuYcVzxxrfsrBj1u3A|10|8|M
The Myth of NYX|The Myth of NYX|https://www.youtube.com/channel/UCt2EAV_zHaPbyqIcJTk3lbA|10|7|M
TikTokTunes|TikTokTunes|https://www.youtube.com/channel/UC9EgazNjxm-_3eydGQR45rQ|10|4|M
Fabio Lima|Fabio Lima|https://www.youtube.com/channel/UCABFK9R0hi0FYiASAAVf5-g|10|1|M
Hey Maaan w/ Josh Wolf Comedy Podcast|Hey Maaan w/ Josh Wolf Comedy Podcast|https://www.youtube.com/channel/UCotqnmh_A3PIUUCkXonCWbw|10|9|C
Kecseti Hunor|Kecseti Hunor|https://www.youtube.com/channel/UCMkVsGkGM4DB1zOPgliZWxQ|10|2|C
FailArmy|FailArmy|https://www.youtube.com/channel/UCPDis9pjXuqyI7RYLJ-TTSA|10|10|M
Liv Sangster|Liv Sangster|https://www.youtube.com/channel/UC2nmRKIyXpdH3yxnEKAvR_Q|9|2|M
FluxBench|FluxBench|https://www.youtube.com/channel/UCm4RDAVQcjRzaOSNHpysw3g|9|3|T
The Stickmen Project|The Stickmen Project|https://www.youtube.com/channel/UC2eTX3jDug-6fUt89uWaPCQ|9|2|M
blanc|blanc|https://www.youtube.com/channel/UC4w5l9jyqursG7wSEdNv3bQ|9|3|M
Erly Tepshi|Erly Tepshi|https://www.youtube.com/channel/UCHtW18znkVYDEfqBrBEbJKg|9|1|M
Farzad|Farzad|https://www.youtube.com/channel/UCgbyN_o-Guwpyqfuuz3pyIw|9|5|M
drumcodeofficial|drumcodeofficial|https://www.youtube.com/channel/UC8eXqFK48M3bBSmMO1FRgIA|9|2|M
Tamper Evident|Tamper Evident|https://www.youtube.com/channel/UCuALSdLlrBnajmqwxAdAtMA|9|4|T
Dry Bar Comedy|Dry Bar Comedy|https://www.youtube.com/channel/UCvlVuntLjdURVD3b3Hx7kxw|9|7|C
Stephen Bain|Stephen Bain|https://www.youtube.com/channel/UCuqAo2dMNMYVQszFxMtuY1Q|9|1|unsure
blackbear|blackbear|https://www.youtube.com/channel/UCtAPxCyQaMxr61zBYFCqsFQ|9|1|M
60 Minutes|60 Minutes|https://www.youtube.com/channel/UCsN32BtMd0IoByjJRNF12cw|9|7|N
TechIN|TechIN|https://www.youtube.com/channel/UCsszPWN4P6mKHmuMz3xZC8Q|9|6|T
Promoting Sounds|Promoting Sounds|https://www.youtube.com/channel/UCp0gATorETNZ6ttOTMeV7jA|9|3|M
raffaello loddo|raffaello loddo|https://www.youtube.com/channel/UCrkb9K5fT5U3YWDj3wmO3Ww|9|1|M
Mark Tobin Kitchen Design|Mark Tobin Kitchen Design|https://www.youtube.com/channel/UCWVp3LLjJvDbx9gxXbCTX7Q|9|9|F
AI In Context|AI In Context|https://www.youtube.com/channel/UCwicfou4Ewu-koikmga-bEg|8|3|T
Taylor John Hardin Reactions|Taylor John Hardin Reactions|https://www.youtube.com/channel/UC-lB_sG0uviaY9pD07kiwjg|8|2|M
Hank Green|Hank Green|https://www.youtube.com/channel/UCOT2iLov0V7Re7ku_3UBtcQ|8|4|M
Dan Martell|Dan Martell|https://www.youtube.com/channel/UCA-mWX9CvCTVFWRMb9bKc9w|8|3|M
Sus Records|Sus Records|https://www.youtube.com/channel/UCZlZGOF00nPIZ16r1Hoy_gA|8|4|M
The Bearded Tech Guy|The Bearded Tech Guy|https://www.youtube.com/channel/UCisQ-U5uC26wjsPXGl8iNjA|8|2|T
Hacksmith Industries|Hacksmith Industries|https://www.youtube.com/channel/UCjgpFI5dU-D1-kh9H1muoxQ|8|3|T
Leon Anavi|Leon Anavi|https://www.youtube.com/channel/UC4OQ5CQw8kuucCM8mG8woOQ|8|3|unsure
Inspirasi Usaha|Inspirasi Usaha|https://www.youtube.com/channel/UCb-N5dt0d2in3XSEZh979tg|8|4|unsure
CaptiveAire|CaptiveAire|https://www.youtube.com/channel/UCt0ArHe_-CKAr1So3IEwmsA|8|2|unsure
America Before|America Before|https://www.youtube.com/channel/UCt2XmzclI1d3arVbxwwHLgA|8|4|unsure
Impatient Maker|Impatient Maker|https://www.youtube.com/channel/UCmnJcPSYEi4lItJA9cPOyUQ|8|3|unsure
RT-Thread|RT-Thread|https://www.youtube.com/channel/UCdDHtIfSYPq4002r27ffqPw|8|3|unsure
Monster Review|Monster Review |https://www.youtube.com/channel/UCT8Ws01i0rk_dSSpHFscIfQ|8|1|unsure
Home Tech|Home Tech|https://www.youtube.com/channel/UCZURNaPoPMTgXkj73lMrYhQ|8|1|unsure
PornoStar Records|PornoStar Records|https://www.youtube.com/channel/UC23xTgbg_9Q2QBGSPdum1KQ|8|1|unsure
rustiesloan|rustiesloan|https://www.youtube.com/channel/UC94hTsOfUfEZyZAop6hmg2Q|8|6|unsure
800 Pound Gorilla Media|800 Pound Gorilla Media|https://www.youtube.com/channel/UCJ9hfZ2sU7jFT9isA2rN58Q|8|5|unsure
onthejazztip|onthejazztip|https://www.youtube.com/channel/UCrVZdadchTIx6R4v_fY6CSQ|8|1|unsure
savagemyth|savagemyth|https://www.youtube.com/channel/UCLM4h9ctnV967aUts0LEkQA|8|1|unsure
White Noise Sounds|White Noise Sounds|https://www.youtube.com/channel/UCF1RvKvyN1cKEHk-1oe1fBw|8|7|unsure
Redbeardflynn|Redbeardflynn|https://www.youtube.com/channel/UCpNlOaUFb9Agw2SsYQVNkuQ|8|6|unsure
Amplified - Classic Rock & Music History|Amplified - Classic Rock & Music History|https://www.youtube.com/channel/UCEzuOCz9-i0TSLePSbIoPWA|8|5|unsure
techiesms|techiesms|https://www.youtube.com/channel/UC7raRsx4ojx3cyXT3x9-PuQ|7|4|unsure
Roger Gadget Guy|Roger Gadget Guy|https://www.youtube.com/channel/UCdXsnsBDekA_Y5KXw-ASA0A|7|3|unsure
All-In Podcast|All-In Podcast|https://www.youtube.com/channel/UCESLZhusAkFfsNsApnjF_Cg|7|2|unsure
Pepper and Pine|Pepper and Pine|https://www.youtube.com/channel/UCN7Jb3UtsPmdSCmb0IPmT_Q|7|4|unsure
djshadow|djshadow|https://www.youtube.com/channel/UCZnQDARLMuOJ1bi9oE6eJ0g|7|1|unsure
Hannah Patricia|Hannah Patricia|https://www.youtube.com/channel/UCq_O1DKN-RYf9fbnwYTOC-g|7|1|unsure
NEIL FRANCES|NEIL FRANCES|https://www.youtube.com/channel/UC_6iT6uG6q3dGZS6em3SNdQ|7|1|unsure
meira|meira|https://www.youtube.com/channel/UCxnXPhdvJXCj2WyIkfr8UZQ|7|1|unsure
Jointdale Records|Jointdale Records|https://www.youtube.com/channel/UCJFDlXO0LWoJQobI3SKRNwQ|7|3|unsure
mgk|mgk|https://www.youtube.com/channel/UCUs8sGiP4avNaYNVO22INhQ|7|2|unsure
boburnham|boburnham|https://www.youtube.com/channel/UC81hVmI5eEBIt3s3HQpJd_w|7|3|unsure
Fernando Midi®|Fernando Midi®|https://www.youtube.com/channel/UCTfPrBfq86bR2bXnFJzp3cw|7|1|unsure
Defected Records|Defected Records|https://www.youtube.com/channel/UCnOxaDXBiBXg9Nn9hKWu6aw|7|2|unsure
MrShadoobie|MrShadoobie|https://www.youtube.com/channel/UC3Y5nE10Z8b9L6g7sm24YLw|7|1|unsure
Mr. Spray|Mr. Spray|https://www.youtube.com/channel/UCy2giE20btN4d5sApsbSPaQ|7|7|unsure
In The Hot Pot with Tam|In The Hot Pot with Tam|https://www.youtube.com/channel/UCM0vxa-BrKgtaCX2ntm3pHA|7|7|unsure
НОВОЕ РАДИО|НОВОЕ РАДИО|https://www.youtube.com/channel/UCj5v318FDg-9LYJk2OwV4xQ|7|3|unsure
MelodicaWorld|MelodicaWorld|https://www.youtube.com/channel/UCiPDSeV2jxtjg5eQhZ4VJ3A|7|5|unsure
CDeep Music|CDeep Music|https://www.youtube.com/channel/UCfqEPO0M10KAtuXlc1NjuFg|7|1|unsure
